,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
36,는데,EC,110560,490807.4285714285,5.6909111273295485
37,보,VX,109808,487469.08571428567,5.687947078846022
38,아빠,NNG,93672,415836.77142857143,5.61892289029228
39,오,VV,92451,410416.40357142856,5.6132247103839426
40,보,VV,86362,383385.59285714285,5.583635788614539
41,에요,EF,86158,382479.97857142857,5.582608706356237
42,너,NP,81965,363866.0535714286,5.560941540515363
43,에서,JKB,81374,361242.4357142857,5.557798761890723
44,좋,VA,81300,360913.9285714286,5.557403642893494
45,시,EP,79341,352217.3678571428,5.546810767243267
46,아서,EC,78899,350255.20357142854,5.544384596107906
47,내,NP,75556,335414.6714285714,5.525582055232246
48,겠,EP,74995,332924.2321428571,5.5223454067605235
49,하,VX,74323,329941.03214285715,5.518436328655709
50,의,JKG,72893,323592.85357142857,5.5099989218130245
51,지,EF,72885,323557.33928571426,5.509951255418113
52,으면,EC,72491,321808.2607142857,5.507597188105411
53,어서,EC,71550,317630.89285714284,5.501922735395221
54,동생,NNG,71432,317107.0571428571,5.501205907256027
55,같,VA,69381,308002.08214285714,5.48855365240985
56,이거,NP,68454,303886.8642857143,5.482711927814314
57,다,MAG,67992,301835.9142857143,5.4797709135314685
58,자,EF,63102,280127.8071428571,5.4473562216021785
59,아야,EC,61535,273171.4464285714,5.436435302232832
60,잖아,EF,60675,269353.6607142857,5.430322882303398
61,할머니,NNG,60184,267173.97142857144,5.426794146110557
62,싶,VX,59843,265660.175,5.4243264543949286
63,잘,MAG,59534,264288.4357142857,5.4220781604251265
64,나,VV,57957,257287.68214285714,5.410418994506337
65,을,ETM,57505,255281.125,5.407018705084763
66,너무,MAG,55470,246247.17857142855,5.391371263178261
67,랑,JKB,55221,245141.79642857143,5.389417364335548
68,로,JKB,53984,239650.4,5.3795781582084565
69,수,NNB,53355,236858.08928571426,5.374488221540887
70,때,NNG,53176,236063.45714285714,5.37302876306551
71,어야,EC,52188,231677.44285714286,5.364883751012386
72,한테,JKB,51254,227531.15,5.357040861859194
73,만,JX,51119,226931.8464285714,5.355895446778217
74,요,JX,50441,223922.01071428572,5.3500967852356975
75,만들,VV,49737,220796.75357142856,5.343992683566312
76,있,VX,49425,219411.69642857142,5.341259775285136
77,것,NNB,49215,218479.44642857142,5.339410586741154
78,없,VA,48850,216859.10714285713,5.336177665354217
79,더,MAG,47996,213067.95714285714,5.328518141960137
80,집,NNG,47879,212548.5607142857,5.327458168461175
81,님,XSN,47802,212206.7357142857,5.326759164848636
82,못,MAG,47208,209569.8,5.321328698930368
83,으로,JKB,45887,203705.50357142856,5.309002762620262
84,여기,NP,45444,201738.9,5.304789648467876
85,들,XSN,44276,196553.81428571427,5.293481476073508
86,타,VV,43618,193632.76428571428,5.2869788454546
87,ㄹ게,EF,43398,192656.1214285714,5.284782812780185
88,ㄴ,JX,42975,190778.30357142855,5.280528982658516
89,지,EC,41008,182046.22857142857,5.260181686139594
90,기,ETN,40906,181593.42142857143,5.259100111316011
91,같이,MAG,40558,180048.55,5.255389628181425
92,아프,VA,40292,178867.69999999998,5.25253192257825
93,주,VV,40165,178303.9107142857,5.251160868598849
94,왜,MAG,39819,176767.91785714283,5.247403446412835
95,놀,VV,39692,176204.12857142856,5.24601607998286
96,이제,MAG,39570,175662.5357142857,5.244679147565453
97,선생,NNG,38350,170246.60714285713,5.231078465584425
98,사,VV,37948,168462.01428571428,5.22650198920807
99,알,VV,37473,166353.35357142857,5.221031560376982
100,뭐,NP,37416,166100.31428571427,5.220370454199873
101,할아버지,NNG,37402,166038.16428571427,5.2202079231828025
102,은,ETM,37047,164462.21785714285,5.216066142645896
103,많이,MAG,36940,163987.2142857143,5.2148099884036485
104,ㄹ까,EF,36313,161203.78214285715,5.207375226951105
105,크,VA,35892,159334.84285714285,5.202310756378369
106,쓰,VV,35128,155943.22857142857,5.192966521395757
107,저,NP,34841,154669.15357142856,5.189403708854607
108,학교,NNG,34395,152689.23214285713,5.183808411085046
109,안되,VV,33912,150545.05714285714,5.177666500859591
110,니까,EC,33904,150509.54285714286,5.177564036666145
111,좋아하,VV,33881,150407.43928571427,5.177269317378187
112,친구,NNG,33366,148121.20714285714,5.1706172427599695
113,대,EF,33344,148023.54285714286,5.170330794582838
114,ㄴ대,EF,32632,144862.77142857143,5.160956789608464
115,나오,VV,32451,144059.26071428572,5.158541181726732
116,맛있,VA,32409,143872.8107142857,5.157978728110035
117,어디,NP,32069,142363.45357142857,5.153398514937467
118,랑,JC,31886,141551.06428571427,5.15091313906089
119,ㄴ데,EC,31474,139722.07857142857,5.145265037782865
120,싫,VA,30109,133662.45357142857,5.126009428976454
121,아니,VCN,29750,132068.75,5.1208000673639935
122,많,VA,29726,131962.20714285714,5.120449570755903
123,모르,VV,29375,130404.01785714286,5.115290972579218
124,엄청,MAG,28557,126772.68214285714,5.103025678839162
125,ㄹ래,EF,28091,124703.97499999999,5.095880297047521
126,한,MMN,27580,122435.5,5.0879073591392565
127,네,EF,27282,121112.59285714285,5.0831893018881775
128,손,NNG,27004,119878.47142857143,5.078741196616209
129,그러,VV,26119,115949.70357142856,5.064269642689768
130,어떻,VA,25805,114555.76785714286,5.059016960705396
131,자,VV,25639,113818.84642857143,5.056214179653568
132,사람,NNG,25450,112979.82142857142,5.053000883972203
133,ㄴ다,EF,25441,112939.86785714285,5.052847275264264
134,빨리,MAG,25396,112740.09999999999,5.0520784157017395
135,그럼,MAJ,24873,110418.35357142857,5.04304126716407
136,러,EC,24438,108487.26428571428,5.035378757769067
137,눈,NNG,24080,106898.0,5.028969579885213
138,진짜,MAG,23883,106023.46071428571,5.0254019759382125
139,좀,MAG,23860,105921.35714285713,5.024983536633749
140,그렇,VA,23694,105184.4357142857,5.021951481419613
141,라고,EC,23182,102911.52142857142,5.012463998793028
142,네,XSN,23169,102853.8107142857,5.012220386857459
143,소리,NNG,22966,101952.63571428572,5.008398457788251
144,은데,EC,22493,99852.85357142857,4.999360480549905
145,입,VV,22455,99684.16071428571,4.998626156698159
146,래,EF,22439,99613.13214285714,4.998316595865769
147,맞,VV,22372,99315.7,4.9970179079556365
148,강아지,NNG,21742,96518.95,4.984612588706222
149,물,NNG,21710,96376.89285714286,4.983972920753845
150,이랑,JKB,21439,95173.84642857143,4.978517621575272
151,오늘,MAG,21353,94792.06785714286,4.9767719973591475
152,아도,EC,21330,94689.96428571428,4.976303952748855
153,이,MMD,21292,94521.27142857142,4.975529554800143
154,갖,VV,21250,94334.82142857142,4.974672031685756
155,무섭,VA,21242,94299.30714285714,4.974508501802659
156,보이,VV,20918,92860.97857142857,4.967833255960914
157,넣,VV,20901,92785.51071428572,4.967480162553657
158,이렇,VA,20835,92492.51785714286,4.966106602092722
159,옷,NNG,20455,90805.58928571428,4.958112581133818
160,제일,MAG,20196,89655.81428571428,4.952578459322874
161,하나,NR,20095,89207.44642857142,4.950401107827479
162,번,NNB,20025,88896.69642857142,4.948885622055701
163,형,NNG,19966,88634.77857142857,4.947604164076507
164,생일,NNG,19961,88612.58214285714,4.947495391946326
165,말,VX,19642,87196.45,4.940498804006023
166,개,NNB,18952,84133.34285714285,4.924968145014134
167,까지,JX,18926,84017.92142857143,4.924371933054533
168,부르,VV,18875,83791.51785714286,4.923200057600652
169,그냥,MAG,18731,83152.26071428572,4.919874061160982
170,살,VV,18491,82086.83214285714,4.914273495897121
171,어도,EC,18400,81682.85714285714,4.912130920308962
172,찍,VV,18262,81070.2357142857,4.9088614357441145
173,시간,NNG,18215,80861.58928571428,4.9077422728773605
174,지,VX,18145,80550.83928571428,4.906070069836001
175,말,NNG,17961,79734.01071428572,4.901643610164773
176,예쁘,VA,17958,79720.69285714286,4.90157106452326
177,자꾸,MAG,17745,78775.125,4.896389100983037
178,다,EC,17738,78744.05,4.896217747861105
179,니,NP,17692,78539.84285714285,4.895090027996992
180,어떡하,VV,17529,77816.23928571428,4.891070238329355
181,을래,EF,17498,77678.62142857142,4.89030150949422
182,노래,NNG,17405,77265.76785714286,4.887987124919733
183,불,VV,17300,76799.64285714286,4.885359200428221
184,냄새,NNG,16944,75219.25714285714,4.876329040062835
185,아,IC,16852,74810.84285714285,4.873964547754236
186,책,NNG,16685,74069.48214285714,4.869639308290237
187,받,VV,16628,73816.44285714286,4.868153113133602
188,저기,IC,16583,73616.675,4.866976198036448
189,않,VX,16449,73021.8107142857,4.863452597902569
190,나,EF,16370,72671.10714285714,4.861361776711367
191,읽,VV,16289,72311.525,4.859207520600412
192,잡,VV,16212,71969.7,4.857149692369081
193,머리,NNG,16209,71956.38214285714,4.857069319558284
194,이랑,JC,16172,71792.12857142856,4.856076829961062
195,다가,EC,16039,71201.70357142857,4.8524903846877
196,들,VV,15893,70553.56785714286,4.848518980691217
197,밥,NNG,15623,69354.96071428571,4.841077530063811
198,선물,NNG,15508,68844.44285714286,4.837868889634598
199,무슨,MMD,15402,68373.87857142856,4.834890216354513
200,삼촌,NNG,15310,67965.46428571428,4.832288287997686
201,다니,VV,15261,67747.93928571428,4.830896089650443
202,들어가,VV,15196,67459.38571428572,4.8290423821821085
203,생기,VV,15191,67437.18928571428,4.828899461036282
204,또,MAG,15164,67317.32857142857,4.828126873053822
205,두,MMN,15062,66864.52142857143,4.82519574056475
206,이모,NNG,15056,66837.88571428572,4.825022703382607
207,근데,MAJ,14883,66069.88928571428,4.820003579055274
208,그거,NP,14738,65426.19285714285,4.815751649486198
209,배우,VV,14484,64298.614285714284,4.8082016134444
210,서,JKB,14391,63885.76071428571,4.805404070484985
211,보다,JKB,14010,62194.392857142855,4.7937512325852
212,때문,NNB,13889,61657.239285714284,4.789984075210115
213,잘하,VV,13857,61515.18214285714,4.788982314265635
214,언니,NNG,13731,60955.832142857136,4.785015264446387
215,ㄹ,JKO,13459,59748.34642857143,4.77632589042546
216,학원,NNG,13393,59455.35357142857,4.774190966134692
217,그리,VV,13328,59166.799999999996,4.772078081362138
218,차,NNG,13148,58367.72857142857,4.766172792709012
219,다시,MAG,13128,58278.94285714285,4.765511665344462
220,치,VV,13126,58270.06428571428,4.7654454972203295
221,몇,NR,13126,58270.06428571428,4.7654454972203295
222,앉,VV,13110,58199.03571428571,4.7649157889895095
223,하,XSV,13090,58110.25,4.764252743850181
224,으니까,EC,13029,57839.45357142857,4.762224181381317
225,우유,NNG,13018,57790.62142857142,4.76185736450529
226,나가,VV,12968,57568.65714285714,4.760186099139884
227,사진,NNG,12795,56800.66071428571,4.75435338752263
228,재미있,VA,12603,55948.31785714285,4.7477870335570795
229,아직,MAG,12493,55459.99642857142,4.743979837274807
230,처럼,JKB,12452,55277.985714285714,4.7425522093099035
231,ㄴ다고,EC,12397,55033.825,4.740629698503757
232,그러면,MAJ,12361,54874.01071428571,4.739366703724901
233,줄,NNB,12345,54802.98214285714,4.738804191567376
234,나,EC,12280,54514.428571428565,4.7365114641045745
235,반,NNG,12230,54292.46428571428,4.734739554335711
236,울,VV,12229,54288.024999999994,4.734704042296613
237,해보,VV,12197,54145.96785714285,4.733566121116587
238,닦,VV,12152,53946.2,4.731960858154156
239,자,EC,12124,53821.899999999994,4.73095902499501
240,다고,EC,12120,53804.142857142855,4.730815717129693
241,다음,NNG,12081,53631.01071428571,4.729415981626519
242,맨날,MAG,12075,53604.375,4.729200236722975
243,내일,NNG,12055,53515.58928571428,4.728480312012898
244,배,NNG,11896,52809.74285714285,4.722714052813323
245,괜찮,VA,11794,52356.93571428571,4.718974220741213
246,이번,NNG,11708,51975.15714285714,4.71579581106118
247,다른,MMD,11705,51961.83928571428,4.715684515332069
248,말하,VV,11617,51571.18214285714,4.712407086656578
249,꽃,NNG,11555,51295.94642857143,4.710083047114554
250,바다,NNG,11494,51025.149999999994,4.707784290097104
251,듣,VV,11453,50843.139285714286,4.70623235801831
252,앞,NNG,11411,50656.68928571428,4.70463680266871
253,일,NR,11279,50070.70357142857,4.699583693956174
254,ㄴ가,EF,11240,49897.57142857143,4.698079408532468
255,먼저,MAG,11229,49848.739285714284,4.69765417913351
256,꼭,MAG,11129,49404.81071428571,4.693769239712017
257,오늘,NNG,11041,49014.15357142857,4.690321507179377
258,비,NNG,10971,48703.40357142857,4.687559312357132
259,데,NNB,10953,48623.49642857142,4.686846184968815
260,누,NP,10817,48019.75357142857,4.681419927007069
261,누나,NNG,10793,47913.21071428571,4.6804552743600505
262,작,VA,10656,47305.02857142857,4.6749073091256514
263,적,NNB,10585,46989.83928571428,4.672003959654856
264,고양이,NNG,10568,46914.37142857142,4.671305901905896
265,찾,VV,10524,46719.04285714286,4.669493936713091
266,학년,NNG,10522,46710.16428571428,4.669411394760566
267,부터,JX,10503,46625.81785714286,4.668626462784121
268,이,JKC,10467,46466.00357142857,4.667135321467199
269,병원,NNG,10329,45853.38214285714,4.661371374723761
270,싸,VV,10115,44903.375,4.652278984406249
271,재밌,VA,10048,44605.94285714286,4.6493927236925465
272,자전거,NNG,10029,44521.59642857143,4.648570728611657
273,거든,EF,10012,44446.12857142857,4.647833938235611
274,기다리,VV,9950,44170.892857142855,4.645136178045151
275,가족,NNG,9874,43833.50714285714,4.6418062201829375
276,숙제,NNG,9775,43394.017857142855,4.63742986336733
277,이름,NNG,9706,43087.70714285714,4.634353384278692
278,아야지,EF,9607,42648.21785714285,4.629900888001088
279,떨어지,VV,9490,42128.82142857143,4.624579309726718
280,마시,VV,9451,41955.68928571428,4.6227908604653
281,다리,NNG,9362,41560.59285714285,4.618681734090849
282,춥,VA,9228,40965.72857142857,4.612420683148481
283,수업,NNG,9221,40934.65357142857,4.612091119321802
284,가방,NNG,9220,40930.21428571428,4.612044018353055
285,어렵,VA,9197,40828.110714285714,4.610959283784269
286,았었,EP,9146,40601.70714285714,4.608544294344089
287,만지,VV,9114,40459.65,4.607022121545856
288,따뜻하,VA,9072,40273.2,4.6050161388482564
289,올라가,VV,8983,39878.10357142857,4.60073449698046
290,입,NNG,8965,39798.19642857143,4.599863391197627
291,죽,VV,8947,39718.28928571429,4.598990534642726
292,바람,NNG,8906,39536.27857142857,4.596995788094629
293,화장실,NNG,8887,39451.93214285714,4.596068277467696
294,아기,NNG,8883,39434.174999999996,4.595872759408387
295,내리,VV,8879,39416.41785714286,4.595677153287795
296,맛,NNG,8878,39411.97857142857,4.595628237988773
297,방학,NNG,8877,39407.53928571429,4.5955793171797215
298,계속,MAG,8848,39278.799999999996,4.594158211260049
299,힘들,VA,8767,38919.21785714285,4.590164103853763
300,조심하,VV,8765,38910.33928571428,4.5900650177292395
301,세,MMN,8727,38741.646428571425,4.588178073266147
302,걸리,VV,8653,38413.139285714286,4.584479801014458
303,발,NNG,8605,38200.05357142857,4.582063971963005
304,어야지,EF,8601,38182.296428571426,4.581862044965573
305,길,VA,8563,38013.60357142857,4.579939041321207
306,뜨겁,VA,8534,37884.864285714284,4.578465735822719
307,겨울,NNG,8495,37711.73214285714,4.57647648050449
308,애,NNG,8485,37667.33928571428,4.57596494395312
309,길,NNG,8484,37662.9,4.57591375714395
310,혼나,VV,8463,37569.674999999996,4.5748374381744545
311,정말,MAG,8462,37565.235714285714,4.574786118294702
312,아니,IC,8416,37361.02857142857,4.572418824109089
313,약,NNG,8388,37236.72857142857,4.570971519092732
314,뭐,IC,8330,36979.25,4.567958098706213
315,키,NNG,8315,36912.66071428571,4.5671753508549635
