굑	U+AD51
굒	U+AD52
굓	U+AD53
굔	U+AD54
굕	U+AD55
굖	U+AD56
굗	U+AD57
굘	U+AD58
굙	U+AD59
굚	U+AD5A
굛	U+AD5B
굜	U+AD5C
굝	U+AD5D
굞	U+AD5E
굟	U+AD5F
굠	U+AD60
굡	U+AD61
굢	U+AD62
굣	U+AD63
굤	U+AD64
굥	U+AD65
굦	U+AD66
굧	U+AD67
굨	U+AD68
굩	U+AD69
굪	U+AD6A
굫	U+AD6B
구	U+AD6C
국	U+AD6D
굮	U+AD6E
굯	U+AD6F
군	U+AD70
굱	U+AD71
굲	U+AD72
굳	U+AD73
굴	U+AD74
굵	U+AD75
굶	U+AD76
굷	U+AD77
굸	U+AD78
굹	U+AD79
굺	U+AD7A
굻	U+AD7B
굼	U+AD7C
굽	U+AD7D
굾	U+AD7E
굿	U+AD7F
궀	U+AD80
궁	U+AD81
궂	U+AD82
궃	U+AD83
궄	U+AD84
궅	U+AD85
궆	U+AD86
궇	U+AD87
궈	U+AD88
궉	U+AD89
궊	U+AD8A
궋	U+AD8B
권	U+AD8C
궍	U+AD8D
궎	U+AD8E
궏	U+AD8F
궐	U+AD90
궑	U+AD91
궒	U+AD92
궓	U+AD93
궔	U+AD94
궕	U+AD95
궖	U+AD96
궗	U+AD97
궘	U+AD98
궙	U+AD99
궚	U+AD9A
궛	U+AD9B
궜	U+AD9C
궝	U+AD9D
궞	U+AD9E
궟	U+AD9F
궠	U+ADA0
궡	U+ADA1
궢	U+ADA2
궣	U+ADA3
궤	U+ADA4
궥	U+ADA5
궦	U+ADA6
궧	U+ADA7
궨	U+ADA8
궩	U+ADA9
궪	U+ADAA
궫	U+ADAB
궬	U+ADAC
궭	U+ADAD
궮	U+ADAE
궯	U+ADAF
궰	U+ADB0
궱	U+ADB1
궲	U+ADB2
궳	U+ADB3
궴	U+ADB4
궵	U+ADB5
궶	U+ADB6
궷	U+ADB7
궸	U+ADB8
궹	U+ADB9
궺	U+ADBA
궻	U+ADBB
궼	U+ADBC
궽	U+ADBD
궾	U+ADBE
궿	U+ADBF
귀	U+ADC0
귁	U+ADC1
귂	U+ADC2
귃	U+ADC3
귄	U+ADC4
귅	U+ADC5
귆	U+ADC6
귇	U+ADC7
귈	U+ADC8
귉	U+ADC9
귊	U+ADCA
귋	U+ADCB
귌	U+ADCC
귍	U+ADCD
귎	U+ADCE
귏	U+ADCF
귐	U+ADD0
귑	U+ADD1
귒	U+ADD2
귓	U+ADD3
귔	U+ADD4
귕	U+ADD5
귖	U+ADD6
귗	U+ADD7
귘	U+ADD8
귙	U+ADD9
귚	U+ADDA
귛	U+ADDB
규	U+ADDC
귝	U+ADDD
귞	U+ADDE
귟	U+ADDF
균	U+ADE0
귡	U+ADE1
귢	U+ADE2
귣	U+ADE3
귤	U+ADE4
귥	U+ADE5
귦	U+ADE6
귧	U+ADE7
귨	U+ADE8
귩	U+ADE9
귪	U+ADEA
귫	U+ADEB
귬	U+ADEC
귭	U+ADED
귮	U+ADEE
귯	U+ADEF
귰	U+ADF0
귱	U+ADF1
귲	U+ADF2
귳	U+ADF3
귴	U+ADF4
귵	U+ADF5
귶	U+ADF6
귷	U+ADF7
그	U+ADF8
극	U+ADF9
귺	U+ADFA
귻	U+ADFB
근	U+ADFC
귽	U+ADFD
귾	U+ADFE
귿	U+ADFF
글	U+AE00
긁	U+AE01
긂	U+AE02
긃	U+AE03
긄	U+AE04
긅	U+AE05
긆	U+AE06
긇	U+AE07
금	U+AE08
급	U+AE09
긊	U+AE0A
긋	U+AE0B
긌	U+AE0C
긍	U+AE0D
긎	U+AE0E
긏	U+AE0F
긐	U+AE10
긑	U+AE11
긒	U+AE12
긓	U+AE13
긔	U+AE14
긕	U+AE15
긖	U+AE16
긗	U+AE17
긘	U+AE18
긙	U+AE19
긚	U+AE1A
긛	U+AE1B
긜	U+AE1C
긝	U+AE1D
긞	U+AE1E
긟	U+AE1F
긠	U+AE20
긡	U+AE21
긢	U+AE22
긣	U+AE23
긤	U+AE24
긥	U+AE25
긦	U+AE26
긧	U+AE27
긨	U+AE28
긩	U+AE29
긪	U+AE2A
긫	U+AE2B
긬	U+AE2C
긭	U+AE2D
긮	U+AE2E
긯	U+AE2F
기	U+AE30
긱	U+AE31
긲	U+AE32
긳	U+AE33
긴	U+AE34
긵	U+AE35
긶	U+AE36
긷	U+AE37
길	U+AE38
긹	U+AE39
긺	U+AE3A
긻	U+AE3B
긼	U+AE3C
긽	U+AE3D
긾	U+AE3E
긿	U+AE3F
김	U+AE40
깁	U+AE41
깂	U+AE42
깃	U+AE43
깄	U+AE44
깅	U+AE45
깆	U+AE46
깇	U+AE47
깈	U+AE48
깉	U+AE49
깊	U+AE4A
깋	U+AE4B
까	U+AE4C
깍	U+AE4D
깎	U+AE4E
깏	U+AE4F
깐	U+AE50
깑	U+AE51
깒	U+AE52
깓	U+AE53
깔	U+AE54
깕	U+AE55
깖	U+AE56
깗	U+AE57
깘	U+AE58
깙	U+AE59
깚	U+AE5A
깛	U+AE5B
깜	U+AE5C
깝	U+AE5D
깞	U+AE5E
깟	U+AE5F
깠	U+AE60
깡	U+AE61
깢	U+AE62
깣	U+AE63
