,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
74,있,VX,60511,254966.68813559323,5.4064834427714725
75,어요,EF,59874,252282.6508474576,5.401887385673014
76,요,JX,59822,252063.54576271187,5.401510041158916
77,이렇,VA,58467,246354.17288135592,5.391559922990055
78,생각,NNG,55455,233662.93220338982,5.36858982229227
79,잘,MAG,55440,233599.7288135593,5.368472334267232
80,거기,NP,54054,227759.73559322034,5.357476949965769
81,아니,VCN,54038,227692.3186440678,5.357348379641208
82,너무,MAG,52676,221953.45084745763,5.346261901658561
83,않,VX,52628,221751.2,5.345865978681749
84,로,JKB,51437,216732.85084745762,5.335924743624758
85,아야,EC,50022,210770.66440677966,5.32381016454416
86,다,EF,49862,210096.49491525424,5.322418807038692
87,ㄹ,JKO,49396,208132.97627118643,5.318340894618252
88,만,JX,49394,208124.54915254237,5.31832331006589
89,주,VX,49181,207227.06101694916,5.3164464676897385
90,가지,VX,48901,206047.26440677966,5.313966852974041
91,으면,EC,46558,196174.89491525423,5.292643428643381
92,다고,EC,45786,192922.02711864407,5.285381816601577
93,다,EC,45400,191295.59322033898,5.281704965520586
94,싶,VX,44393,187052.53898305085,5.271963607529385
95,애,NNG,44081,185737.90847457628,5.268900550811107
96,그냥,MAG,43447,183066.51186440678,5.2626089066029085
97,면서,EC,42955,180993.4406779661,5.257662836035026
98,한,MMN,42541,179249.02711864407,5.253456807195341
99,많,VA,42182,177736.3593220339,5.249776280015077
100,나오,VV,40086,168904.73898305083,5.227641834800826
101,살,VV,40042,168719.34237288137,5.227164873960061
102,이런,MMD,39495,166414.5254237288,5.221191230825231
103,집,NNG,39238,165331.6406779661,5.218355975512579
104,그러니까,MAJ,38405,161821.74576271186,5.2090368821104365
105,이,JKC,37731,158981.806779661,5.201347428299853
106,생각하,VV,37576,158328.70508474577,5.199559659838674
107,들,VV,37397,157574.4779661017,5.197485877010935
108,아요,EF,36212,152581.41016949152,5.183501624361939
109,시,EP,35888,151216.21694915253,5.179598368902374
110,못,MAG,35870,151140.37288135593,5.179380489339448
111,지만,EC,35592,149969.0033898305,5.17600150540347
112,라고,EC,35379,149071.51525423728,5.1733946659228955
113,더,MAG,35055,147706.3220338983,5.16939908411139
114,던,ETM,34790,146589.7288135593,5.16610354141107
115,뭐,NP,34678,146117.81016949154,5.164703154927556
116,ㄴ데,EC,34392,144912.73220338984,5.161106544772433
117,지금,MAG,34224,144204.85423728812,5.158979879890935
118,으니까,EC,33278,140218.82711864405,5.1468063300699
119,그리고,MAJ,33134,139612.07457627117,5.144922980572779
120,어야,EC,33005,139068.5254237288,5.143228849751086
121,그런데,MAJ,32765,138057.2711864407,5.1400592849556395
122,한테,JKB,32161,135512.2813559322,5.131978656711598
123,사,VV,32075,135149.91525423728,5.130815777710448
124,차,NNG,30630,129061.32203389831,5.110796109470054
125,어도,EC,30578,128842.21694915254,5.110058188986059
126,요즘,NNG,30440,128260.74576271186,5.108093760762017
127,모르,VV,30143,127009.3186440678,5.103835586209727
128,적,XSN,30015,126469.98305084746,5.1019874603553745
129,다니,VV,28254,119049.90508474575,5.075729053489848
130,자기,NP,28187,118767.5966101695,5.0746979681456725
131,ㄴ다고,EC,27953,117781.62372881356,5.071077537176747
132,어떻,VA,27851,117351.8406779661,5.069489905950072
133,막,MAG,27810,117179.08474576271,5.068850101527642
134,까지,JX,27510,115915.01694915254,5.064139703053165
135,번,NNB,27087,114132.6813559322,5.0574100204063965
